265 505 36 87 417 81 782 469 50 899 522 140 506 315 421 633 138 216 50 40 266 183 360 828 192 491 26 70 75 54 492 390 135 15 31 270 346 344 576 633 421 330 481 646 667 672 539 538 531 580 331 271 588 628 641 513 717 641 410 596 819 286 632 209 307 541 869 289 603 621 458 625 638 623 582 783 463 513 449 637 397 387 573 125 566 642 354 868 411 743 610 564 613 410 525 384 338 277 378
270 211 15 25 153 16 526 206 18 660 224 20 200 105 109 323 16 36 24 20 58 38 115 668 39 198 16 19 22 16 201 97 31 12 17 65 153 160 330 524 220 129 379 349 503 604 550 456 172 362 106 74 550 588 653 461 607 521 198 345 743 106 554 57 100 344 693 160 499 489 414 550 563 468 611 640 248 278 219 511 206 147 515 26 479 463 106 773 180 619 501 544 527 211 411 203 180 84 181
275 35 19 19 37 17 152 43 15 319 58 16 46 31 31 66 18 15 18 19 23 15 25 359 18 39 11 16 9 12 49 34 14 8 16 22 33 28 84 193 29 23 143 64 142 341 282 230 39 91 13 26 390 383 585 215 263 224 31 78 521 25 314 9 20 90 413 36 226 269 198 233 359 196 409 315 47 57 39 280 49 35 245 8 232 212 28 524 36 350 207 352 282 41 164 56 48 23 66
280 24 9 20 19 10 49 24 5 72 20 12 22 20 14 31 16 13 8 12 10 12 20 125 18 19 12 13 9 9 17 21 11 8 13 19 18 16 25 38 19 10 24 30 27 91 92 55 22 29 17 14 180 166 400 64 46 61 19 20 193 11 98 15 16 25 141 9 55 81 54 53 137 46 182 103 26 16 20 66 24 21 88 10 47 60 26 223 21 103 58 155 118 21 38 20 9 15 18
285 19 14 22 15 10 19 13 7 36 18 14 11 11 21 20 14 15 11 15 14 16 14 39 19 27 12 18 15 18 23 20 15 14 15 13 15 18 18 25 11 9 12 25 25 25 24 19 27 30 15 13 37 21 185 19 23 16 14 29 35 7 34 14 11 15 34 17 26 25 13 22 36 16 32 28 12 14 15 22 9 17 27 7 12 23 17 54 20 33 18 36 32 16 22 12 14 17 8
290 17 15 21 11 4 15 16 9 27 23 6 10 19 10 28 13 12 16 11 8 14 12 26 14 18 9 7 9 10 16 20 17 7 10 15 12 16 10 17 11 8 11 15 29 14 19 13 18 18 9 13 21 16 37 15 18 23 7 7 23 9 22 10 11 15 20 13 18 19 14 18 24 16 25 22 13 9 17 14 11 11 18 9 19 31 14 32 9 25 12 15 27 14 14 17 12 18 14
295 16 4 16 13 8 23 20 11 29 16 6 9 9 13 18 14 12 6 8 10 21 18 24 10 12 8 13 9 9 17 14 13 3 7 13 10 11 22 18 11 11 10 24 17 18 13 9 9 21 11 10 11 21 25 16 30 19 12 21 25 5 12 10 13 16 26 11 18 13 13 9 14 22 30 18 3 14 10 9 9 6 17 2 13 23 10 25 15 24 16 10 12 16 18 19 8 9 13
300 15 3 14 13 7 29 12 11 27 25 8 17 7 18 26 6 8 9 14 8 9 9 30 15 22 10 7 8 5 12 15 10 2 1 10 10 3 11 17 11 9 12 20 13 23 10 6 9 16 8 10 17 13 19 17 26 14 13 13 18 15 17 7 8 18 19 7 6 13 14 20 16 11 12 25 19 8 12 22 4 12 17 7 22 17 13 24 18 15 12 16 17 11 14 14 7 8 10
305 27 2 7 24 1 25 17 3 30 22 5 11 15 12 16 8 4 2 3 15 5 8 23 11 11 0 4 2 2 15 11 8 1 1 10 6 11 19 15 13 4 12 15 24 18 19 12 11 13 8 6 20 11 12 9 18 9 7 7 18 5 13 5 6 10 18 7 9 17 9 13 19 18 15 17 7 4 10 13 13 8 11 7 15 13 8 26 12 10 19 11 16 10 12 8 13 13 9
310 9 0 3 10 1 16 9 1 26 7 2 8 8 9 21 2 6 1 1 4 7 11 22 8 6 2 0 2 0 6 11 1 0 0 4 4 5 10 10 3 5 15 14 10 12 9 12 8 14 3 6 14 19 15 7 18 16 4 11 17 9 14 5 3 11 18 7 8 14 7 5 19 21 15 13 16 7 7 12 9 7 16 0 10 17 3 22 8 19 8 12 10 10 12 5 5 6 8
315 13 1 0 5 0 19 7 0 16 5 1 7 0 3 12 2 4 1 0 0 0 4 25 0 5 1 0 0 0 5 5 0 0 0 0 1 2 9 12 6 2 5 7 10 13 8 7 6 8 2 2 14 11 15 16 11 11 2 8 13 2 11 2 2 16 13 2 10 6 8 15 13 11 13 7 6 11 4 16 3 8 10 0 16 9 4 17 4 12 12 18 7 7 10 6 6 1 5
320 2 0 1 0 0 8 3 0 15 3 0 3 0 0 1 1 0 0 0 2 0 4 11 1 4 1 0 0 0 1 1 0 1 0 0 1 1 2 5 1 0 5 2 4 8 9 10 0 3 1 1 5 18 12 6 5 7 1 0 15 0 5 0 0 3 11 0 7 9 4 10 7 8 7 10 3 4 1 6 0 1 9 1 4 7 1 12 0 8 5 13 8 4 10 2 2 0 1
325 0 0 1 0 0 5 4 1 7 1 0 0 0 3 1 0 0 1 1 1 0 1 5 0 0 0 2 0 0 1 1 0 2 0 0 1 1 0 5 0 0 4 1 3 6 6 3 0 1 0 0 7 13 17 2 2 2 0 0 10 0 10 0 0 0 10 0 3 3 2 1 9 5 5 2 1 1 0 2 1 0 7 2 2 1 0 11 0 7 2 11 6 0 3 1 0 2 1
330 1 0 0 1 1 0 0 1 1 1 2 0 0 0 1 0 0 0 1 0 0 1 2 0 0 0 1 0 0 1 1 2 0 0 0 0 3 1 0 3 1 1 0 0 4 2 0 0 1 1 1 5 1 14 1 1 2 1 1 4 0 2 1 0 2 1 0 0 2 0 2 3 1 2 2 0 0 0 3 0 3 2 0 0 2 1 4 0 5 1 3 1 2 0 1 1 2 1
335 2 1 1 0 0 1 0 0 3 0 2 1 0 0 1 1 1 0 1 0 0 0 0 1 0 0 0 1 0 0 2 0 1 0 3 1 0 0 1 0 0 1 1 2 0 0 0 0 0 2 0 1 2 2 1 2 3 2 1 5 1 2 1 0 0 1 1 0 0 1 1 2 1 0 0 1 1 0 0 0 3 2 0 6 0 1 1 2 0 1 4 0 0 1 0 0 1 0
340 0 0 2 0 0 1 0 0 0 1 0 0 0 0 1 0 2 0 0 0 2 0 0 0 0 0 0 0 2 1 0 1 0 0 1 2 0 1 1 0 1 0 0 0 0 0 1 1 0 0 0 0 1 2 1 0 0 0 0 1 0 0 1 0 1 0 1 0 1 0 0 1 0 1 0 2 1 0 3 0 0 1 0 1 0 0 1 1 2 0 2 0 0 0 0 1 1 0
